"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Production d'électricité (NAF rév. 2, niveau classe, poste 35.11)";"Codes"
"idBank";"010537865";""
"Période";"";""
"2019-01";"123.15";"A"
"2018-12";"117.34";"A"
"2018-11";"101.31";"A"
"2018-10";"91.73";"A"
"2018-09";"84.16";"A"
"2018-08";"80.83";"A"
"2018-07";"89.96";"A"
"2018-06";"88.6";"A"
"2018-05";"92.86";"A"
"2018-04";"92.89";"A"
"2018-03";"115.58";"A"
"2018-02";"118.64";"A"
"2018-01";"124.85";"A"
"2017-12";"116.95";"A"
"2017-11";"98.75";"A"
"2017-10";"86.28";"A"
"2017-09";"84.64";"A"
"2017-08";"81.25";"A"
"2017-07";"85.25";"A"
"2017-06";"81.59";"A"
"2017-05";"90.57";"A"
"2017-04";"93.13";"A"
"2017-03";"109.67";"A"
"2017-02";"105.85";"A"
"2017-01";"126.4";"A"
"2016-12";"113.18";"A"
"2016-11";"100.28";"A"
"2016-10";"86.89";"A"
"2016-09";"79.79";"A"
"2016-08";"78.64";"A"
"2016-07";"84.29";"A"
"2016-06";"87.71";"A"
"2016-05";"88.78";"A"
"2016-04";"94.96";"A"
"2016-03";"115.08";"A"
"2016-02";"114.67";"A"
"2016-01";"123.28";"A"
"2015-12";"113.82";"A"
"2015-11";"104.63";"A"
"2015-10";"97.58";"A"
"2015-09";"85.57";"A"
"2015-08";"85.29";"A"
"2015-07";"91.32";"A"
"2015-06";"87.06";"A"
"2015-05";"88.4";"A"
"2015-04";"90.75";"A"
"2015-03";"111.79";"A"
"2015-02";"115.21";"A"
"2015-01";"128.58";"A"
"2014-12";"120.58";"A"
"2014-11";"103.76";"A"
"2014-10";"89.89";"A"
"2014-09";"85.51";"A"
"2014-08";"86.12";"A"
"2014-07";"93.41";"A"
"2014-06";"85.87";"A"
"2014-05";"91.28";"A"
"2014-04";"89.49";"A"
"2014-03";"106.44";"A"
"2014-02";"109.05";"A"
"2014-01";"123.23";"A"
"2013-12";"118.28";"A"
"2013-11";"106.8";"A"
"2013-10";"91.2";"A"
"2013-09";"84.64";"A"
"2013-08";"84.03";"A"
"2013-07";"89.46";"A"
"2013-06";"86.07";"A"
"2013-05";"94.85";"A"
"2013-04";"96.71";"A"
"2013-03";"114.56";"A"
"2013-02";"115.57";"A"
"2013-01";"127.67";"A"
"2012-12";"120.33";"A"
"2012-11";"108.38";"A"
"2012-10";"93.72";"A"
"2012-09";"83.12";"A"
"2012-08";"79.64";"A"
"2012-07";"83.2";"A"
"2012-06";"82.11";"A"
"2012-05";"88.68";"A"
"2012-04";"97.26";"A"
"2012-03";"107.68";"A"
"2012-02";"120.55";"A"
"2012-01";"126.6";"A"
"2011-12";"118.48";"A"
"2011-11";"102.04";"A"
"2011-10";"92.69";"A"
"2011-09";"85.52";"A"
"2011-08";"84.43";"A"
"2011-07";"89.88";"A"
"2011-06";"88.62";"A"
"2011-05";"90.03";"A"
"2011-04";"90.04";"A"
"2011-03";"112.14";"A"
"2011-02";"111.43";"A"
"2011-01";"128.77";"A"
"2010-12";"130.21";"A"
"2010-11";"108.98";"A"
"2010-10";"91.91";"A"
"2010-09";"85.97";"A"
"2010-08";"86.67";"A"
"2010-07";"90.36";"A"
"2010-06";"88.62";"A"
"2010-05";"87.72";"A"
"2010-04";"91.34";"A"
"2010-03";"112.66";"A"
"2010-02";"111.09";"A"
"2010-01";"124.86";"A"
"2009-12";"115.26";"A"
"2009-11";"95.96";"A"
"2009-10";"86.98";"A"
"2009-09";"79.6";"A"
"2009-08";"77.89";"A"
"2009-07";"81.52";"A"
"2009-06";"79.68";"A"
"2009-05";"87.1";"A"
"2009-04";"89.34";"A"
"2009-03";"109.17";"A"
"2009-02";"111.21";"A"
"2009-01";"128.27";"A"
"2008-12";"121.67";"A"
"2008-11";"106.65";"A"
"2008-10";"93.9";"A"
"2008-09";"87.88";"A"
"2008-08";"85.86";"A"
"2008-07";"90.99";"A"
"2008-06";"89.21";"A"
"2008-05";"92.13";"A"
"2008-04";"101.06";"A"
"2008-03";"111.01";"A"
"2008-02";"110.85";"A"
"2008-01";"121.15";"A"
"2007-12";"118.18";"A"
"2007-11";"104.33";"A"
"2007-10";"99.6";"A"
"2007-09";"89.75";"A"
"2007-08";"89.04";"A"
"2007-07";"90.83";"A"
"2007-06";"90.53";"A"
"2007-05";"90.66";"A"
"2007-04";"89.95";"A"
"2007-03";"111.97";"A"
"2007-02";"106.44";"A"
"2007-01";"117.98";"A"
"2006-12";"117.41";"A"
"2006-11";"106.85";"A"
"2006-10";"97.13";"A"
"2006-09";"90.77";"A"
"2006-08";"85.89";"A"
"2006-07";"88.96";"A"
"2006-06";"88.93";"A"
"2006-05";"93.6";"A"
"2006-04";"99.54";"A"
"2006-03";"110.83";"A"
"2006-02";"106.41";"A"
"2006-01";"123.75";"A"
"2005-12";"121.16";"A"
"2005-11";"109.06";"A"
"2005-10";"95.83";"A"
"2005-09";"90.0";"A"
"2005-08";"86.67";"A"
"2005-07";"88.32";"A"
"2005-06";"90.51";"A"
"2005-05";"93.74";"A"
"2005-04";"96.15";"A"
"2005-03";"109.8";"A"
"2005-02";"109.83";"A"
"2005-01";"120.81";"A"
"2004-12";"122.25";"A"
"2004-11";"110.18";"A"
"2004-10";"99.95";"A"
"2004-09";"88.65";"A"
"2004-08";"83.09";"A"
"2004-07";"87.86";"A"
"2004-06";"87.5";"A"
"2004-05";"91.28";"A"
"2004-04";"96.0";"A"
"2004-03";"109.89";"A"
"2004-02";"107.5";"A"
"2004-01";"121.68";"A"
"2003-12";"117.15";"A"
"2003-11";"106.67";"A"
"2003-10";"98.17";"A"
"2003-09";"84.14";"A"
"2003-08";"81.0";"A"
"2003-07";"88.35";"A"
"2003-06";"85.68";"A"
"2003-05";"89.26";"A"
"2003-04";"95.23";"A"
"2003-03";"105.41";"A"
"2003-02";"111.17";"A"
"2003-01";"122.72";"A"
"2002-12";"115.34";"A"
"2002-11";"106.08";"A"
"2002-10";"97.84";"A"
"2002-09";"87.71";"A"
"2002-08";"81.51";"A"
"2002-07";"89.02";"A"
"2002-06";"87.68";"A"
"2002-05";"93.65";"A"
"2002-04";"96.86";"A"
"2002-03";"104.6";"A"
"2002-02";"99.6";"A"
"2002-01";"116.21";"A"
"2001-12";"113.7";"A"
"2001-11";"107.92";"A"
"2001-10";"96.67";"A"
"2001-09";"88.19";"A"
"2001-08";"83.21";"A"
"2001-07";"88.81";"A"
"2001-06";"84.78";"A"
"2001-05";"89.06";"A"
"2001-04";"95.32";"A"
"2001-03";"102.25";"A"
"2001-02";"98.14";"A"
"2001-01";"113.56";"A"
"2000-12";"107.3";"A"
"2000-11";"104.01";"A"
"2000-10";"94.18";"A"
"2000-09";"84.76";"A"
"2000-08";"81.97";"A"
"2000-07";"85.7";"A"
"2000-06";"84.23";"A"
"2000-05";"87.76";"A"
"2000-04";"94.27";"A"
"2000-03";"103.23";"A"
"2000-02";"100.97";"A"
"2000-01";"110.68";"A"
"1999-12";"108.87";"A"
"1999-11";"100.87";"A"
"1999-10";"92.33";"A"
"1999-09";"83.15";"A"
"1999-08";"78.44";"A"
"1999-07";"84.2";"A"
"1999-06";"80.43";"A"
"1999-05";"81.69";"A"
"1999-04";"91.56";"A"
"1999-03";"98.43";"A"
"1999-02";"98.56";"A"
"1999-01";"104.65";"A"
"1998-12";"105.31";"A"
"1998-11";"98.64";"A"
"1998-10";"90.18";"A"
"1998-09";"76.24";"A"
"1998-08";"67.78";"A"
"1998-07";"79.13";"A"
"1998-06";"80.32";"A"
"1998-05";"83.41";"A"
"1998-04";"91.78";"A"
"1998-03";"99.12";"A"
"1998-02";"95.57";"A"
"1998-01";"107.56";"A"
"1997-12";"102.51";"A"
"1997-11";"94.01";"A"
"1997-10";"90.58";"A"
"1997-09";"79.41";"A"
"1997-08";"76.51";"A"
"1997-07";"81.29";"A"
"1997-06";"78.45";"A"
"1997-05";"81.29";"A"
"1997-04";"87.99";"A"
"1997-03";"88.86";"A"
"1997-02";"91.49";"A"
"1997-01";"109.95";"A"
"1996-12";"105.98";"A"
"1996-11";"95.92";"A"
"1996-10";"89.89";"A"
"1996-09";"80.05";"A"
"1996-08";"74.51";"A"
"1996-07";"80.8";"A"
"1996-06";"77.57";"A"
"1996-05";"83.17";"A"
"1996-04";"87.25";"A"
"1996-03";"98.59";"A"
"1996-02";"101.54";"A"
"1996-01";"105.58";"A"
"1995-12";"97.71";"A"
"1995-11";"92.32";"A"
"1995-10";"82.19";"A"
"1995-09";"78.21";"A"
"1995-08";"75.64";"A"
"1995-07";"79.53";"A"
"1995-06";"77.86";"A"
"1995-05";"80.9";"A"
"1995-04";"85.27";"A"
"1995-03";"98.74";"A"
"1995-02";"87.72";"A"
"1995-01";"107.08";"A"
"1994-12";"98.64";"A"
"1994-11";"86.94";"A"
"1994-10";"84.31";"A"
"1994-09";"76.7";"A"
"1994-08";"71.63";"A"
"1994-07";"76.92";"A"
"1994-06";"73.68";"A"
"1994-05";"75.66";"A"
"1994-04";"86.03";"A"
"1994-03";"87.88";"A"
"1994-02";"89.68";"A"
"1994-01";"99.91";"A"
"1993-12";"98.73";"A"
"1993-11";"93.86";"A"
"1993-10";"83.09";"A"
"1993-09";"75.01";"A"
"1993-08";"68.65";"A"
"1993-07";"73.86";"A"
"1993-06";"71.61";"A"
"1993-05";"74.16";"A"
"1993-04";"80.51";"A"
"1993-03";"91.37";"A"
"1993-02";"90.26";"A"
"1993-01";"95.75";"A"
"1992-12";"94.64";"A"
"1992-11";"85.27";"A"
"1992-10";"84.98";"A"
"1992-09";"72.06";"A"
"1992-08";"67.06";"A"
"1992-07";"72.13";"A"
"1992-06";"69.19";"A"
"1992-05";"72.32";"A"
"1992-04";"81.16";"A"
"1992-03";"87.35";"A"
"1992-02";"88.96";"A"
"1992-01";"101.06";"A"
"1991-12";"96.96";"A"
"1991-11";"88.17";"A"
"1991-10";"80.72";"A"
"1991-09";"69.58";"A"
"1991-08";"64.79";"A"
"1991-07";"69.72";"A"
"1991-06";"67.99";"A"
"1991-05";"74.45";"A"
"1991-04";"76.64";"A"
"1991-03";"80.89";"A"
"1991-02";"91.42";"A"
"1991-01";"95.95";"A"
"1990-12";"94.54";"A"
"1990-11";"82.65";"A"
"1990-10";"74.59";"A"
"1990-09";"67.65";"A"
"1990-08";"62.28";"A"
"1990-07";"66.27";"A"
"1990-06";"65.03";"A"
"1990-05";"65.45";"A"
"1990-04";"74.95";"A"
"1990-03";"74.15";"A"
"1990-02";"70.48";"A"
"1990-01";"84.72";"A"
